21709	21766	3
21709	21765	3
21709	21764	3
21709	21763	3
21709	21762	3
21709	21761	3
21709	21760	3
21709	21758	3
21709	21757	3
21709	21756	3
21709	21755	3
21709	21753	3
21709	21752	3
21709	21751	3
21709	21750	3
21709	21749	3
21709	21748	3
21709	21747	3
21709	21746	3
21709	21744	3
21709	21742	3
21709	21741	3
21709	21740	3
21709	21739	3
21709	21738	3
21709	21737	3
21709	21736	3
21709	21735	3
21709	21734	3
21709	21733	3
21709	21731	3
21709	21730	3
21709	21729	3
21709	21728	3
21709	21727	3
21709	21726	3
21709	21725	3
21709	21724	3
21709	21723	3
21709	21722	3
21709	21721	3
21709	21719	3
21709	21718	3
21709	21717	3
21709	21716	3
21709	21715	3
21709	21714	3
21709	21713	3
21709	21712	3
21709	21711	3
21709	21710	3
21710	21763	3
21710	21737	3
21710	21761	3
21710	21736	3
21710	21757	3
21710	21755	3
21710	21751	3
21710	21750	3
21710	21749	3
21710	21727	3
21710	21741	3
21710	21744	3
21710	21731	3
21710	21729	3
21710	21747	3
21710	21725	3
21710	21723	3
21710	21711	3
21710	21730	3
21710	21735	3
21710	21756	3
21710	21738	3
21710	21753	3
21710	21748	3
21710	21719	3
21710	21718	3
21710	21764	3
21710	21722	3
21710	21734	3
21710	21766	3
21710	21713	3
21710	21765	3
21710	21760	3
21710	21762	3
21710	21752	3
21710	21714	3
21710	21724	3
21710	21739	3
21710	21742	3
21710	21733	3
21710	21716	3
21710	21717	3
21710	21726	3
21710	21758	3
21710	21746	3
21710	21712	3
21710	21740	3
21710	21721	3
21710	21715	3
21710	21728	3
21711	21763	3
21711	21737	3
21711	21736	3
21711	21725	3
21711	21755	3
21711	21751	3
21711	21750	3
21711	21749	3
21711	21741	3
21711	21731	3
21711	21729	3
21711	21761	3
21711	21723	3
21711	21757	3
21711	21727	3
21711	21744	3
21711	21747	3
21711	21730	3
21711	21735	3
21711	21756	3
21711	21738	3
21711	21753	3
21711	21748	3
21711	21719	3
21711	21718	3
21711	21764	3
21711	21722	3
21711	21734	3
21711	21766	3
21711	21713	3
21711	21765	3
21711	21760	3
21711	21762	3
21711	21752	3
21711	21714	3
21711	21724	3
21711	21739	3
21711	21742	3
21711	21733	3
21711	21716	3
21711	21717	3
21711	21726	3
21711	21758	3
21711	21746	3
21711	21712	3
21711	21740	3
21711	21721	3
21711	21715	3
21711	21728	3
21712	21766	3
21712	21765	3
21712	21764	3
21712	21763	3
21712	21737	3
21712	21761	3
21712	21760	3
21712	21736	3
21712	21758	3
